n_past_tgt,decode_time_ms,do_defrag
179,12.070,0
181,12.623,0
185,11.877,0
191,12.008,0
193,11.946,0
195,11.907,0
201,11.621,0
204,12.200,0
208,11.846,0
215,11.739,0
220,12.328,0
223,12.382,0
224,11.631,0
227,11.939,0
233,12.299,0
236,12.727,0
242,11.944,0
246,11.872,0
251,12.319,0
256,12.190,0
262,12.291,0
265,11.897,0
270,12.479,0
276,11.756,0
279,11.643,0
281,12.168,0
291,11.630,0
294,11.949,0
297,11.918,0
301,12.913,0
302,12.410,0
304,12.273,0
310,11.905,0
311,11.854,0
315,12.231,0
319,12.348,0
324,12.408,0
328,12.354,0
331,11.767,0
332,11.560,0
337,12.347,0
340,12.084,0
349,12.331,0
354,12.506,0
359,12.309,0
361,11.993,0
365,12.129,0
371,12.173,0
376,12.146,0
380,12.262,0
382,11.782,0
387,11.981,0
393,11.905,0
397,11.520,0
402,11.952,0
406,11.800,0
410,11.623,0
413,11.915,0
419,13.050,0
423,12.400,0
426,12.162,0
429,11.688,0
437,11.860,0
441,12.924,0
445,12.672,0
453,12.004,0
459,11.921,0
470,11.566,0
474,12.005,0
475,11.414,0
481,11.980,0
487,12.189,0
492,12.380,0
494,12.141,0
499,12.606,0
502,12.559,0
504,12.138,0
510,12.599,0
11,19.573,0
13,19.759,0
17,22.554,0
19,11.451,0
24,11.029,0
34,12.914,0
36,11.043,0
39,11.155,0
43,24.056,0
50,12.385,0
53,12.083,0
58,14.628,0
61,11.767,0
62,11.943,0
66,11.713,0
67,11.564,0
69,11.930,0
70,24.517,0
74,11.998,0
76,11.658,0
78,11.822,0
83,11.913,0
87,12.177,0
92,11.703,0
97,11.745,0
98,11.857,0
102,12.186,0
106,12.842,0
111,12.161,0
116,12.008,0
118,11.834,0
119,11.710,0
124,12.423,0
128,12.426,0
131,12.223,0
136,12.837,0
140,12.748,0
143,11.769,0
145,11.923,0
150,12.512,0
154,12.573,0
159,12.124,0
163,12.238,0
169,11.979,0
174,12.129,0
177,12.421,0
179,11.984,0
183,12.207,0
188,12.482,0
192,11.891,0
198,11.610,0
206,12.034,0
212,12.049,0
217,12.767,0
220,12.329,0
221,12.350,0
226,12.345,0
230,12.614,0
236,12.272,0
238,12.280,0
244,11.859,0
245,12.169,0
250,12.608,0
254,12.166,0
255,11.962,0
256,11.845,0
257,12.620,0
261,11.807,0
266,12.454,0
270,12.107,0
275,12.767,0
278,12.249,0
284,12.825,0
286,12.308,0
291,12.611,0
296,12.635,0
301,12.149,0
306,11.985,0
311,12.051,0
314,12.779,0
316,12.015,0
320,11.673,0
323,11.678,0
329,11.706,0
333,12.314,0
337,11.772,0
339,12.185,0
342,12.397,0
346,12.225,0
350,12.045,0
354,12.119,0
357,11.855,0
362,12.652,0
366,12.211,0
374,12.484,0
378,12.123,0
383,12.741,0
385,13.019,0
389,12.353,0
393,12.295,0
398,12.150,0
403,13.086,0
404,12.495,0
408,12.005,0
412,12.710,0
416,13.150,0
420,12.689,0
421,12.144,0
427,11.674,0
431,12.657,0
435,12.254,0
439,12.312,0
442,12.347,0
447,12.452,0
449,12.096,0
455,11.664,0
459,11.873,0
464,12.757,0
469,12.209,0
470,11.811,0
472,11.683,0
479,12.820,0
482,12.231,0
486,12.221,0
489,11.631,0
495,12.739,0
500,11.811,0
507,12.712,0
508,12.815,0
509,12.127,0
510,12.265,0
11,19.677,0
15,23.616,0
19,12.274,0
23,11.766,0
27,12.734,0
32,12.986,0
37,12.159,0
41,12.643,0
46,13.347,0
48,12.956,0
53,12.191,0
57,12.416,0
63,23.577,0
67,11.503,0
69,11.612,0
70,11.189,0
74,14.402,0
79,11.823,0
81,12.018,0
85,11.417,0
92,12.039,0
96,13.006,0
97,12.376,0
106,11.993,0
